task,mode,seed,steps,loss,accuracy,pilot
boolean_circuit_8,outcome,2001,8000,0.3276141583919525,0.076,True
boolean_circuit_8,outcome,2002,8000,0.3184221684932709,0.079,True
boolean_circuit_8,outcome,2003,8000,0.3316982686519623,0.072,True
boolean_circuit_8,outcome,2004,8000,0.3187199532985687,0.078,True
boolean_circuit_8,outcome,2005,8000,0.3160850703716278,0.081,True
boolean_circuit_8,answer_first,2001,8000,0.035900820046663284,0.092,True
boolean_circuit_8,answer_first,2002,8000,0.038077887147665024,0.079,True
boolean_circuit_8,answer_first,2003,8000,0.04329415410757065,0.08,True
boolean_circuit_8,answer_first,2004,8000,0.04362067952752113,0.067,True
boolean_circuit_8,answer_first,2005,8000,0.04409680888056755,0.08,True
boolean_circuit_8,filler,2001,8000,0.03427638113498688,0.077,True
boolean_circuit_8,filler,2002,8000,0.03393547236919403,0.085,True
boolean_circuit_8,filler,2003,8000,0.0339963436126709,0.072,True
boolean_circuit_8,filler,2004,8000,0.03375210240483284,0.073,True
boolean_circuit_8,filler,2005,8000,0.03420582413673401,0.081,True
boolean_circuit_8,process,2001,8000,0.001688831252977252,0.879,True
boolean_circuit_8,process,2002,8000,0.004556861240416765,0.773,True
boolean_circuit_8,process,2003,8000,0.0017164909513667226,0.907,True
boolean_circuit_8,process,2004,8000,0.006868982687592506,0.718,True
boolean_circuit_8,process,2005,8000,0.004913682583719492,0.823,True
boolean_circuit_8,corrupted,2001,8000,0.31366318464279175,0.072,True
boolean_circuit_8,corrupted,2002,8000,0.31377652287483215,0.069,True
boolean_circuit_8,corrupted,2003,8000,0.31523457169532776,0.048,True
boolean_circuit_8,corrupted,2004,8000,0.31229889392852783,0.052,True
boolean_circuit_8,corrupted,2005,8000,0.3132075071334839,0.065,True
