task,architecture,depth,seed,rho,law,condition,step,train_loss,answer_accuracy,exact_continuation
handcoded_boolean,matched_dblock_outcome,4,42,0.05,symmetric,process,500,1.2614985704421997,0.06640625,0.0078125
handcoded_boolean,matched_dblock_outcome,4,42,0.05,symmetric,process,1000,1.2541042566299438,0.125,0.01171875
handcoded_boolean,matched_dblock_outcome,4,42,0.05,symmetric,process,2000,1.2094162702560425,0.234375,0.0
handcoded_boolean,matched_dblock_outcome,4,42,0.0625,symmetric,process,500,1.2571709156036377,0.08984375,0.0234375
handcoded_boolean,matched_dblock_outcome,4,42,0.0625,symmetric,process,1000,1.2583279609680176,0.109375,0.0234375
handcoded_boolean,matched_dblock_outcome,4,42,0.0625,symmetric,process,2000,1.2241084575653076,0.26171875,0.01953125
handcoded_boolean,matched_dblock_outcome,4,42,0.1,symmetric,process,500,1.2502669095993042,0.08203125,0.03515625
handcoded_boolean,matched_dblock_outcome,4,42,0.1,symmetric,process,1000,1.250023603439331,0.140625,0.03125
handcoded_boolean,matched_dblock_outcome,4,42,0.1,symmetric,process,2000,1.2110764980316162,0.2421875,0.015625
handcoded_boolean,matched_dblock_outcome,4,42,0.25,symmetric,process,500,1.2548168897628784,0.125,0.0390625
handcoded_boolean,matched_dblock_outcome,4,42,0.25,symmetric,process,1000,1.1870845556259155,0.125,0.07421875
handcoded_boolean,matched_dblock_outcome,4,42,0.25,symmetric,process,2000,1.1386497020721436,0.2734375,0.16015625
handcoded_boolean,matched_dblock_outcome,4,42,0.4,symmetric,process,500,1.1147483587265015,0.11328125,0.0546875
handcoded_boolean,matched_dblock_outcome,4,42,0.4,symmetric,process,1000,1.0487291812896729,0.1875,0.1171875
handcoded_boolean,matched_dblock_outcome,4,42,0.4,symmetric,process,2000,0.7405118346214294,0.83984375,0.8203125
handcoded_boolean,matched_dblock_outcome,4,42,0.49,symmetric,process,500,1.00371253490448,0.1640625,0.10546875
handcoded_boolean,matched_dblock_outcome,4,42,0.49,symmetric,process,1000,0.8787721991539001,0.625,0.609375
handcoded_boolean,matched_dblock_outcome,4,42,0.49,symmetric,process,2000,0.6967827677726746,0.77734375,0.76953125
handcoded_boolean,matched_dblock_outcome,4,42,0.51,symmetric,process,500,1.0131453275680542,0.12890625,0.078125
handcoded_boolean,matched_dblock_outcome,4,42,0.51,symmetric,process,1000,0.7229586243629456,0.59765625,0.57421875
handcoded_boolean,matched_dblock_outcome,4,42,0.51,symmetric,process,2000,0.6774392127990723,0.765625,0.73828125
handcoded_boolean,matched_dblock_outcome,4,42,0.6,symmetric,process,500,0.929360568523407,0.20703125,0.1484375
handcoded_boolean,matched_dblock_outcome,4,42,0.6,symmetric,process,1000,0.5795059204101562,0.8046875,0.7890625
handcoded_boolean,matched_dblock_outcome,4,42,0.6,symmetric,process,2000,0.47501295804977417,0.89453125,0.875
handcoded_boolean,matched_dblock_outcome,4,42,0.8,symmetric,process,500,0.6349726319313049,0.328125,0.24609375
handcoded_boolean,matched_dblock_outcome,4,42,0.8,symmetric,process,1000,0.2816065549850464,0.92578125,0.92578125
handcoded_boolean,matched_dblock_outcome,4,42,0.8,symmetric,process,2000,0.26089370250701904,0.95703125,0.9453125
handcoded_boolean,matched_dblock_outcome,4,42,0.05,coherent,process,500,0.667756974697113,0.09375,0.0
handcoded_boolean,matched_dblock_outcome,4,42,0.05,coherent,process,1000,0.3280091881752014,0.15234375,0.00390625
handcoded_boolean,matched_dblock_outcome,4,42,0.05,coherent,process,2000,0.21604523062705994,0.3046875,0.0
handcoded_boolean,matched_dblock_outcome,4,42,0.0625,coherent,process,500,0.6850259304046631,0.09375,0.0
handcoded_boolean,matched_dblock_outcome,4,42,0.0625,coherent,process,1000,0.33903270959854126,0.15625,0.0
handcoded_boolean,matched_dblock_outcome,4,42,0.0625,coherent,process,2000,0.2526671290397644,0.26171875,0.00390625
handcoded_boolean,matched_dblock_outcome,4,42,0.1,coherent,process,500,0.7059667110443115,0.09375,0.0
handcoded_boolean,matched_dblock_outcome,4,42,0.1,coherent,process,1000,0.3677714467048645,0.13671875,0.0
handcoded_boolean,matched_dblock_outcome,4,42,0.1,coherent,process,2000,0.16991592943668365,0.26171875,0.015625
handcoded_boolean,matched_dblock_outcome,4,42,0.25,coherent,process,500,0.7984194159507751,0.09765625,0.0
handcoded_boolean,matched_dblock_outcome,4,42,0.25,coherent,process,1000,0.2910650074481964,0.22265625,0.08984375
handcoded_boolean,matched_dblock_outcome,4,42,0.25,coherent,process,2000,0.1778375655412674,0.33203125,0.109375
handcoded_boolean,matched_dblock_outcome,4,42,0.4,coherent,process,500,0.7369208931922913,0.1328125,0.05859375
handcoded_boolean,matched_dblock_outcome,4,42,0.4,coherent,process,1000,0.3041342496871948,0.23828125,0.15234375
handcoded_boolean,matched_dblock_outcome,4,42,0.4,coherent,process,2000,0.19196467101573944,0.38671875,0.26171875
handcoded_boolean,matched_dblock_outcome,4,42,0.49,coherent,process,500,0.6036809682846069,0.203125,0.12109375
handcoded_boolean,matched_dblock_outcome,4,42,0.49,coherent,process,1000,0.24211139976978302,0.4375,0.33984375
handcoded_boolean,matched_dblock_outcome,4,42,0.49,coherent,process,2000,0.17697688937187195,0.41015625,0.296875
handcoded_boolean,matched_dblock_outcome,4,42,0.51,coherent,process,500,0.7075027227401733,0.2109375,0.10546875
handcoded_boolean,matched_dblock_outcome,4,42,0.51,coherent,process,1000,0.28392279148101807,0.390625,0.32421875
handcoded_boolean,matched_dblock_outcome,4,42,0.51,coherent,process,2000,0.16299504041671753,0.53515625,0.41796875
handcoded_boolean,matched_dblock_outcome,4,42,0.6,coherent,process,500,0.6142463088035583,0.1484375,0.078125
handcoded_boolean,matched_dblock_outcome,4,42,0.6,coherent,process,1000,0.24817930161952972,0.58984375,0.55078125
handcoded_boolean,matched_dblock_outcome,4,42,0.6,coherent,process,2000,0.16109246015548706,0.73828125,0.72265625
handcoded_boolean,matched_dblock_outcome,4,42,0.8,coherent,process,500,0.5823533535003662,0.28125,0.22265625
handcoded_boolean,matched_dblock_outcome,4,42,0.8,coherent,process,1000,0.208757221698761,0.828125,0.81640625
